time,T_max,RH_max,Wind,Heat_Index,doy_sin,doy_cos,Target
2010-01-01,29.4,90,16.0,34.42291350958762,0.017213356155834685,0.9998518392091162,0
2010-01-02,30.7,93,14.7,37.3491471608938,0.03442161162274574,0.9994074007397048,0
2010-01-03,30.4,91,12.6,36.942719813682665,0.051619667223253764,0.998666816288476,0
2010-01-04,30.2,91,19.3,35.29226865172302,0.06880242680231986,0.9976303053065857,0
2010-01-05,29.8,88,15.9,34.84853493516938,0.08596479873744647,0.9962981749346078,0
2010-01-06,29.2,92,16.2,34.3116393733523,0.10310169744743485,0.9946708199115211,0
2010-01-07,30.2,92,11.8,36.8917563414245,0.1202080448993527,0.9927487224577402,0
2010-01-08,26.9,96,12.7,31.624148471380103,0.13727877211326478,0.9905324521322229,0
2010-01-09,28.4,96,9.3,34.80826111843123,0.15430882066428117,0.9880226656636976,0
2010-01-10,28.2,97,12.9,33.8931134596917,0.1712931441814776,0.9852201067560606,0
2010-01-11,29.4,93,14.0,35.21626988583314,0.1882267098432442,0.9821256058680006,0
2010-01-12,28.3,91,19.8,31.963347149002217,0.2051044998686192,0.9787400799669153,0
2010-01-13,26.4,94,14.5,30.22370201801509,0.2219215130041655,0.9750645322571948,0
2010-01-14,27.7,94,20.3,31.23790741709042,0.2386727660059501,0.9711000518829505,0
2010-01-15,26.7,93,13.0,30.889502224581044,0.255353295116187,0.9668478136052775,0
2010-01-16,28.3,93,16.9,32.78027663457247,0.2719581575341055,0.9623090774541486,0
2010-01-17,28.3,92,17.6,32.51764522512068,0.288482432880609,0.9574851883550393,0
2010-01-18,28.4,93,15.9,33.143159208480256,0.30492122465628907,0.9523775757303974,0
2010-01-19,27.2,95,16.6,31.24555743900578,0.3212696616923644,0.9469877530760753,0
2010-01-20,28.8,98,12.3,35.171574170311054,0.3375228995941133,0.9413173175128471,0
2010-01-21,29.5,97,13.4,36.047665354765556,0.3536761221763716,0.9353679493131483,0
2010-01-22,29.2,95,13.7,35.19758655098577,0.3697245428906731,0.9291414114031743,0
2010-01-23,29.2,95,12.3,35.469808773207994,0.38566340624360707,0.9226395488404876,0
2010-01-24,28.7,99,16.0,34.40802984933449,0.401487989205973,0.9158642882672872,0
2010-01-25,27.1,95,13.0,31.77977593104761,0.4171936026123168,0.9088176373395029,0
2010-01-26,28.5,96,12.9,34.27926429365376,0.4327755925504312,0.901501684131884,0
2010-01-27,29.4,96,12.9,35.83462626207865,0.4482293417404106,0.893918596519257,0
2010-01-28,29.0,94,12.8,34.895637786027336,0.4635502709028509,0.886070621534138,0
2010-01-29,28.8,94,13.8,34.358958898053466,0.47873384011578846,0.8779600847008882,0
