time,T_max,RH_max,Wind,Heat_Index,doy_sin,doy_cos,Target
2010-01-01,28.3,98,11.1,34.54065590405367,0.017213356155834685,0.9998518392091162,0
2010-01-02,28.4,97,11.6,34.488295088414894,0.03442161162274574,0.9994074007397048,0
2010-01-03,29.7,97,9.6,37.138568170112585,0.051619667223253764,0.998666816288476,0
2010-01-04,28.6,98,8.0,35.66088245467331,0.06880242680231986,0.9976303053065857,0
2010-01-05,28.9,98,12.7,35.26775357666238,0.08596479873744647,0.9962981749346078,0
2010-01-06,28.9,98,14.9,34.839975798884595,0.10310169744743485,0.9946708199115211,0
2010-01-07,28.1,97,9.3,34.422449349872934,0.1202080448993527,0.9927487224577402,0
2010-01-08,28.0,98,9.2,34.3959209978556,0.13727877211326478,0.9905324521322229,0
2010-01-09,28.4,98,12.3,34.47944016950966,0.15430882066428117,0.9880226656636976,0
2010-01-10,26.9,99,12.8,31.95450380555517,0.1712931441814776,0.9852201067560606,0
2010-01-11,27.9,98,15.7,32.961358363137045,0.1882267098432442,0.9821256058680006,0
2010-01-12,27.0,95,15.8,31.069884554951514,0.2051044998686192,0.9787400799669153,0
2010-01-13,27.6,97,12.7,32.913335293989626,0.2219215130041655,0.9750645322571948,0
2010-01-14,29.1,97,12.8,35.46483032039883,0.2386727660059501,0.9711000518829505,0
2010-01-15,28.0,98,11.5,33.948698775633375,0.255353295116187,0.9668478136052775,0
2010-01-16,28.1,99,17.3,33.117013024898945,0.2719581575341055,0.9623090774541486,0
2010-01-17,30.3,98,14.2,37.45133468447531,0.288482432880609,0.9574851883550393,0
2010-01-18,30.1,97,13.9,37.01107476795115,0.30492122465628907,0.9523775757303974,0
2010-01-19,29.4,98,7.4,37.17371569809418,0.3212696616923644,0.9469877530760753,0
2010-01-20,28.2,98,8.9,34.79667934873778,0.3375228995941133,0.9413173175128471,0
2010-01-21,27.4,99,7.3,33.866712016224284,0.3536761221763716,0.9353679493131483,0
2010-01-22,28.0,98,10.8,34.08480988674449,0.3697245428906731,0.9291414114031743,0
2010-01-23,28.7,98,10.0,35.44521024367343,0.38566340624360707,0.9226395488404876,0
2010-01-24,28.1,99,8.7,34.78923524712117,0.401487989205973,0.9158642882672872,0
2010-01-25,28.4,99,9.1,35.22891858393776,0.4171936026123168,0.9088176373395029,0
2010-01-26,28.8,98,10.7,35.482685281422164,0.4327755925504312,0.901501684131884,0
2010-01-27,28.7,99,11.3,35.32191873822338,0.4482293417404106,0.893918596519257,0
2010-01-28,28.1,99,11.1,34.3225685804545,0.4635502709028509,0.886070621534138,0
2010-01-29,28.2,98,7.9,34.991123793182226,0.47873384011578846,0.8779600847008882,0
2010-01-30,29.1,98,9.7,36.20012066734452,0.49377555015997715,0.869589389346611,0
2010-01-31,29.4,99,10.7,36.666871527213054,0.5086709438521044,0.8609610158889943,0
2010-02-01,28.5,99,10.9,35.05214060838599,0.5234156073655503,0.8520775211013093,0
2010-02-02,29.1,98,14.5,35.26678733401119,0.5380051715382996,0.8429415373547828,0
2010-02-03,29.9,98,11.4,37.28085802552807,0.5524353131676196,0.8335557718385699,0
2010-02-04,29.8,98,10.7,37.239214410125506,0.5667017562911176,0.8239230057575542,0
2010-02-05,29.4,98,10.7,36.53204903142751,0.5808002734538009,0.8140460935082178,0
2010-02-06,27.7,98,8.2,34.07941411569002,0.5947266869607634,0.8039279618328213,0
2010-02-07,28.6,98,10.4,35.194215788006645,0.6084768701151261,0.7935716089521474,0
2010-02-08,29.5,99,10.9,36.80497689701731,0.6220467484408675,0.7829801036770629,0
2010-02-09,30.6,98,11.2,38.575002027965844,0.6354323008901774,0.7721565844991642,0
2010-02-10,29.0,99,12.2,35.671055871572534,0.6486295610349814,0.7611042586607747,0
2010-02-11,30.1,98,8.0,38.29864598549017,0.6616346182422783,0.7498264012045686,0
2010-02-12,29.7,99,13.4,36.674014020126364,0.6744436188329455,0.7383263540031065,0
2010-02-13,29.6,98,10.5,36.92375313018908,0.6870527672236669,0.7266075247685656,0
2010-02-14,28.8,99,9.7,35.80736687726434,0.699458327051647,0.7146733860429609,0
2010-02-15,28.5,98,10.7,34.96303368866043,0.7116566222817746,0.7025274741691571,0
2010-02-16,29.5,98,11.2,36.611043348113654,0.7236440382959124,0.6901733882429719,0
2010-02-17,29.2,98,13.7,35.59742261750812,0.7354170229639855,0.6776147890466889,0
2010-02-18,28.4,98,9.7,34.98499572506521,0.7469720876965552,0.6648553979642865,0
2010-02-19,27.7,99,7.9,34.259929679228804,0.7583058084785624,0.6518989958787126,0
2010-02-20,29.0,99,9.5,36.19605587157253,0.7694148268839378,0.6387494220515272,0
2010-02-21,29.5,99,8.7,37.23275467479509,0.7802958510707755,0.6254105729852463,0
2010-02-22,29.0,98,12.2,35.539305587796825,0.7909456567567772,0.6118864012687243,0
2010-02-23,29.1,98,9.3,36.277898445122304,0.8013610881746766,0.5981809144059165,0
2010-02-24,29.2,99,8.0,36.83903463968225,0.8115390590073611,0.5842981736283684,0
2010-02-25,30.2,99,7.3,38.75483683600148,0.8214765533024142,0.5702422926917871,0
2010-02-26,29.4,99,10.0,36.80298263832417,0.8311706263658079,0.5560174366570446,0
2010-02-27,30.1,99,10.5,37.95288386969585,0.8406184056344782,0.5416278206559814,0
2010-02-28,29.8,97,11.5,36.94570201818544,0.8498170915275278,0.5270777086423722,0
2010-03-01,29.1,98,12.1,35.73345400067786,0.8587639582758029,0.5123714121284237,0
2010-03-02,29.8,99,11.6,37.20217124651001,0.8674563547295969,0.49751328890718066,0
2010-03-03,29.3,98,9.7,36.55065746796357,0.8758917051442429,0.48250774176121847,0
2010-03-04,29.3,99,10.1,36.60692834915594,0.8840675099433636,0.4673592171580022,0
2010-03-05,30.1,98,7.3,38.43475709660128,0.8919813464595485,0.45207220393230435,0
2010-03-06,30.3,98,8.8,38.50133468447532,0.8996308696522433,0.43665123195606403,0
2010-03-07,30.9,99,9.2,39.65473107580643,0.9070138128026359,0.4211008707960896,0
2010-03-08,29.1,97,7.0,36.592608098176605,0.9141279881853337,0.40542572835999735,0
2010-03-09,29.1,98,10.7,36.00567622290008,0.9209712877166346,0.38963044953078796,0
2010-03-10,27.5,98,8.9,33.60444187784347,0.9275416835791966,0.37371971479046906,0
2010-03-11,28.5,98,9.4,35.21581146643821,0.9338372288229252,0.35769823883312546,0
2010-03-12,29.3,98,9.5,36.58954635685246,0.9398560579418954,0.3415707691678556,0
2010-03-13,30.4,99,9.1,38.76549249571582,0.9455963874271426,0.3253420847119801,0
2010-03-14,30.2,97,11.7,37.61697256770964,0.9510565162951535,0.30901699437494745,0
2010-03-15,29.3,98,10.4,36.414546356852455,0.9562348265919056,0.29260033563334836,0
2010-03-16,29.9,99,6.9,38.29460827748924,0.9611297838723007,0.27609697309746883,0
2010-03-17,28.4,98,6.3,35.64610683617632,0.9657399376548549,0.2595117970697999,0
2010-03-18,28.3,98,6.8,35.37676701516478,0.9700639218515071,0.2428497220959356,0
2010-03-19,28.4,99,10.0,35.053918583937765,0.9741004551724205,0.22611568550828828,0
2010-03-20,29.9,99,10.4,37.61405272193369,0.9778483415056568,0.20931464596304847,0
2010-03-21,29.8,98,10.4,37.297547743458836,0.9813064702716093,0.19245158197082998,0
2010-03-22,29.2,98,10.0,36.31686706195257,0.9844738167520922,0.1755314904214282,0
2010-03-23,30.0,98,10.1,37.71177911920466,0.9873494423939864,0.15855938510313475,0
2010-03-24,29.7,99,10.8,37.17956957568192,0.989932495087353,0.141540295217043,0
2010-03-25,30.8,98,5.2,40.103889090475754,0.9922222094179323,0.12447926388678915,0
2010-03-26,30.4,98,11.5,38.15604868823945,0.994217906893952,0.10738134666416309,0
2010-03-27,29.3,98,10.3,36.4339908012969,0.995918996147179,0.09025161003104117,0
2010-03-28,29.4,98,8.2,37.018160142538626,0.9973249731081555,0.07309512989807777,0
2010-03-29,27.9,99,9.9,34.2127497750058,0.9984354211555643,0.055916990100603484,0
2010-03-30,27.0,99,8.3,32.997359226271115,0.9992500112396835,0.03872228089217446,0
2010-03-31,27.4,97,9.6,33.17936542105925,0.9997685019798909,0.021516097436222254,0
2010-04-01,29.6,98,8.4,37.33208646352241,0.9999907397361901,0.004303538296244289,0
2010-04-02,28.6,97,12.0,34.75436551352585,0.9999166586547379,-0.01291029607500882,0
2010-04-03,28.2,98,11.5,34.29112379318222,0.9995462806873573,-0.030120304846908114,0
2010-04-04,29.0,97,10.5,35.73811085957668,0.9988797155850336,-0.04732138832243185,0
2010-04-05,29.3,98,12.5,36.00621302351912,0.9979171608653922,-0.06450844944931623,0
2010-04-06,30.1,99,10.0,38.050106091918074,0.9966589017541702,-0.08167639533042241,0
2010-04-07,26.9,98,10.7,32.246237212682,0.9951053111006976,-0.09882013873287143,0
2010-04-08,30.2,98,8.9,38.30257136852222,0.9932568492674143,-0.11593459959550041,0
2010-04-09,29.9,99,7.4,38.19738605526702,0.9911140639934547,-0.1330147065341959,0
2010-04-10,30.3,99,8.0,38.798853972638895,0.9886775902323405,-0.1500553983446526,0
2010-04-11,28.8,99,7.2,36.29347798837546,0.9859481499638304,-0.16705162550211924,0
2010-04-12,29.8,99,10.0,37.51328235762112,0.9829265519799822,-0.18399835165768005,0
2010-04-13,30.3,98,9.0,38.462445795586426,0.9796136916454901,-0.20089055513063506,0
2010-04-14,30.4,99,6.6,39.25160360682693,0.9760105506323683,-0.21772323039653177,0
2010-04-15,29.8,99,13.3,36.87161569095446,0.9721181966290613,-0.23449138957040985,0
2010-04-16,29.2,99,9.7,36.50847908412669,0.9679377830240642,-0.25119006388481935,0
2010-04-17,29.1,99,10.8,36.118744347623554,0.9634705485641488,-0.2678143051621742,0
2010-04-18,28.5,99,11.3,34.974362830608214,0.9587178169872964,-0.2843591872810034,0
2010-04-19,29.3,99,11.7,36.29581723804483,0.9536809966304457,-0.30081980763566735,0
2010-04-20,29.7,98,8.9,37.411846650675024,0.9483615800121715,-0.3171912885891061,0
2010-04-21,28.7,98,9.3,35.58132135478454,0.9427611433904207,-0.3334687789181868,0
2010-04-22,29.6,99,10.3,37.09902385373976,0.9368813462954315,-0.3496474552512284,0
2010-04-23,30.1,99,8.5,38.34177275858474,0.9307239310379795,-0.36572252349726897,0
2010-04-24,29.3,99,8.0,37.015261682489275,0.9242907221930933,-0.3816892202666588,0
2010-04-25,28.2,98,10.4,34.50501268207111,0.9175836260593937,-0.39754281428255595,0
2010-04-26,29.1,99,9.8,36.313188792068,0.9106046300942162,-0.4132786077829042,0
2010-04-27,28.4,99,9.3,35.19002969504888,0.9033558023246845,-0.4288919379124835,0
2010-04-28,27.7,98,11.2,33.496080782356685,0.895839290734909,-0.4443781781046132,0
2010-04-29,29.3,99,9.4,36.743039460267056,0.8880573226294932,-0.45973273945210397,0
2010-04-30,30.3,99,7.9,38.81829841708334,0.8800122039735357,-0.47495107206704995,0
2010-05-01,30.9,99,12.0,39.11028663136199,0.8717063187093218,-0.4900286664290592,0
2010-05-02,30.2,98,10.9,37.91368247963333,0.8631421280499114,-0.5049610547215204,0
2010-05-03,29.9,98,9.2,37.708635803305846,0.854322169749827,-0.5197438121555155,0
2010-05-04,29.4,99,10.5,36.705760416101946,0.8452490573530633,-0.5343725582809786,0
2010-05-05,29.1,97,7.6,36.475941431509945,0.8359254794186372,-0.548842958284719,0
2010-05-06,30.7,98,9.4,39.10591134517124,0.8263541987239096,-0.5631507242749186,0
2010-05-07,30.9,99,9.9,39.518619964695326,0.8165380514459161,-0.5772916165517272,0
2010-05-08,28.8,98,8.7,35.87157417031105,0.8064799463209448,-0.5912614448635781,0
2010-05-09,28.5,99,9.4,35.34380727505266,0.7961828637826158,-0.6050560696488488,0
2010-05-10,29.2,99,6.5,37.13070130634892,0.7856498550787147,-0.6186714032625031,0
2010-05-11,29.4,98,7.2,37.21260458698307,0.7748840413670407,-0.6321034111873487,0
2010-05-12,28.8,97,10.4,35.410781463357765,0.7638886127905428,-0.6453481132295501,0
2010-05-13,27.6,98,9.1,33.73480725005596,0.7526668275320085,-0.6584015846980488,0
2010-05-14,29.0,98,7.3,36.4920833655746,0.7412220108485958,-0.6712599575675313,0
2010-05-15,26.5,98,8.6,31.98929776679615,0.7295575540864875,-0.6839194216246106,0
2010-05-16,30.9,98,8.9,39.56615915697113,0.717676913675962,-0.6963762255968722,0
2010-05-17,30.6,97,9.6,38.74169701861018,0.705583610107178,-0.7086266782644596,0
2010-05-18,30.6,99,8.8,39.186084815099285,0.6932812268869777,-0.7206671495538609,0
2010-05-19,30.5,99,7.9,39.17975407123359,0.6807734094770161,-0.7324940716135789,0
2010-05-20,29.4,98,8.5,36.95982680920529,0.6680638642135335,-0.7441039398713607,0
2010-05-21,29.4,99,9.0,36.99742708276861,0.6551563572090853,-0.7554933140726803,0
2010-05-22,29.1,99,7.0,36.85763323651244,0.6420547132365637,-0.766658819300159,0
2010-05-23,27.9,99,9.7,34.25163866389468,0.6287628145958344,-0.7775971469736269,0
2010-05-24,27.8,98,6.8,34.52159731578608,0.6152845999633276,-0.7883050558305255,0
2010-05-25,28.4,99,7.5,35.54002969504887,0.6016240632249226,-0.7987793728863649,0
2010-05-26,28.5,98,9.7,35.157478133104874,0.5877852522924732,-0.8090169943749473,0
2010-05-27,28.4,98,11.5,34.63499572506521,0.5737722679043246,-0.8190148866680801,0
2010-05-28,28.2,98,15.8,33.455012682071114,0.5595892624101765,-0.8287700871745038,0
2010-05-29,29.2,96,12.7,35.525309684271,0.545240438540651,-0.8382797052177744,0
2010-05-30,29.0,98,12.8,35.42263892113016,0.5307300481619334,-0.8475409228928311,0
2010-05-31,29.4,98,12.9,36.104271253649735,0.5160623910158528,-0.8565509959010036,0
2010-06-01,29.3,95,13.6,35.39017815771979,0.5012418134457758,-0.865307254363206,0
2010-06-02,29.7,98,12.3,36.75073553956391,0.48627270710868997,-0.8738071036110808,0
2010-06-03,29.0,96,13.0,35.120249464689856,0.4711595076738638,-0.8820480249558537,0
2010-06-04,29.4,98,11.5,36.37649347587195,0.4559066935084588,-0.8900275764346767,0
2010-06-05,29.0,99,8.5,36.390500316016976,0.440518784350495,-0.8977433935342337,0
2010-06-06,29.4,99,8.6,37.075204860546386,0.42500033996955416,-0.9051931898913974,0
2010-06-07,29.6,99,6.9,37.76013496485087,0.4093559588156213,-0.9123747579707273,0
2010-06-08,28.7,98,6.9,36.047988021451204,0.39359027665646673,-0.9192859697186104,0
2010-06-09,26.7,98,5.4,32.94347785194801,0.3777079652039649,-0.9259247771938498,0
2010-06-10,29.8,98,9.4,37.491992187903286,0.36171373072976765,-0.9322892131745133,0
2010-06-11,30.8,98,7.7,39.61777797936465,0.3456123126707335,-0.9383773917408641,0
2010-06-12,29.2,97,7.7,36.63081059533401,0.3294084822245304,-0.9441875088341993,0
2010-06-13,30.1,98,6.6,38.570868207712394,0.3131070409358269,-0.9497178427914316,0
2010-06-14,29.7,99,9.3,37.47123624234859,0.29671281927349075,-0.9549667548552551,0
2010-06-15,30.0,99,9.2,38.0263267519403,0.28023067519921585,-0.9599326896597447,0
2010-06-16,27.3,99,7.8,33.60023671305924,0.26366549272800704,-0.9646141756912435,0
2010-06-17,28.2,96,7.0,34.914547570645624,0.24702218048093552,-0.9690098257244062,0
2010-06-18,29.2,97,15.7,35.075255039778455,0.23030567023061221,-0.9731183372332619,0
2010-06-19,28.8,95,14.1,34.43086271611786,0.21352091543979612,-0.9769384927771817,0
2010-06-20,29.1,98,15.1,35.150120667344524,0.19667288979357647,-0.980469160361632,0
2010-06-21,28.4,98,13.5,34.246106836176324,0.1797665857255624,-0.9837092937736097,0
2010-06-22,29.7,98,13.8,36.45906887289725,0.16280701293851715,-0.986657932891657,0
2010-06-23,28.6,98,16.4,34.02754912133998,0.1457991969198751,-0.9893142039703663,0
2010-06-24,28.1,95,14.1,33.23899678595802,0.12874817745258132,-0.99167731989929,0
