time,T_max,RH_max,Wind
2010-01-01,31.8,97,8.4
2010-01-02,32.4,97,10.1
2010-01-03,33.7,100,7.7
2010-01-04,31.9,95,13.0
2010-01-05,32.4,90,13.3
2010-01-06,30.1,92,13.0
2010-01-07,30.8,99,7.4
2010-01-08,29.3,95,9.7
2010-01-09,29.6,96,9.5
2010-01-10,31.1,92,7.0
2010-01-11,31.7,98,7.9
2010-01-12,31.1,96,9.5
2010-01-13,30.9,97,15.5
2010-01-14,29.8,80,16.5
2010-01-15,30.9,82,10.3
2010-01-16,31.0,83,15.7
2010-01-17,30.6,74,13.0
2010-01-18,28.9,70,12.6
2010-01-19,30.2,70,11.7
2010-01-20,28.9,69,16.4
2010-01-21,28.7,85,10.7
2010-01-22,29.9,96,6.4
2010-01-23,29.6,96,9.2
2010-01-24,30.8,96,10.7
2010-01-25,30.6,98,6.2
2010-01-26,31.1,96,17.1
2010-01-27,31.7,86,8.7
2010-01-28,32.6,88,10.6
2010-01-29,31.7,96,9.8
2010-01-30,32.2,96,11.9
2010-01-31,32.3,93,12.4
2010-02-01,32.1,96,12.6
2010-02-02,32.4,93,13.3
2010-02-03,33.4,90,14.4
2010-02-04,33.2,93,13.5
2010-02-05,32.8,94,15.1
2010-02-06,33.1,89,17.0
2010-02-07,33.4,90,15.5
2010-02-08,33.1,90,15.9
2010-02-09,33.2,94,13.6
2010-02-10,33.3,94,13.9
2010-02-11,33.9,95,14.8
2010-02-12,33.4,94,14.8
2010-02-13,33.3,94,16.6
2010-02-14,33.8,87,15.9
2010-02-15,32.9,87,15.9
2010-02-16,33.1,89,18.1
2010-02-17,33.0,90,14.4
2010-02-18,32.7,90,12.6
2010-02-19,32.5,94,12.6
2010-02-20,32.6,88,17.3
2010-02-21,33.4,86,17.5
2010-02-22,33.4,90,16.2
2010-02-23,33.4,86,20.5
2010-02-24,33.6,83,16.7
2010-02-25,35.0,90,16.2
2010-02-26,35.2,92,14.1
2010-02-27,34.9,96,19.1
2010-02-28,33.9,89,23.1
2010-03-01,33.8,85,18.6
2010-03-02,34.1,85,17.8
2010-03-03,34.2,90,20.6
2010-03-04,34.7,93,17.8
2010-03-05,36.4,96,14.8
2010-03-06,36.2,94,14.0
2010-03-07,35.8,89,19.1
2010-03-08,34.6,91,21.2
2010-03-09,34.8,92,19.5
2010-03-10,30.7,89,17.6
2010-03-11,32.9,60,12.7
2010-03-12,35.2,83,14.5
2010-03-13,35.3,86,15.9
2010-03-14,35.1,90,20.9
2010-03-15,35.5,88,16.6
2010-03-16,35.4,88,15.6
2010-03-17,31.8,89,13.8
2010-03-18,35.0,92,18.6
